Date,TSLA,AAPL,AMZN,GOOGL,NFLX
2/24/2016,35.799999,24.025,554.039978,720.900024,91.610001
2/25/2016,37.486,24.190001,555.150024,729.119995,94.529999
2/26/2016,38.068001,24.227501,555.22998,724.859985,94.790001
2/29/2016,38.386002,24.172501,552.52002,717.219971,93.410004
3/1/2016,37.27,25.1325,579.039978,742.169983,98.300003
3/2/2016,37.667999,25.1875,580.210022,739.47998,97.610001
3/3/2016,39.147999,25.375,577.48999,731.590027,97.93
3/4/2016,40.208,25.752501,575.140015,730.219971,101.580002
3/7/2016,41.057999,25.467501,562.799988,712.799988,95.489998
3/8/2016,40.52,25.2575,560.26001,713.530029,96.230003
3/9/2016,41.743999,25.280001,559.469971,725.409973,98
3/10/2016,41.035999,25.2925,558.929993,732.169983,97.360001
3/11/2016,41.5,25.565001,569.609985,744.869995,97.660004
3/14/2016,43.029999,25.629999,573.369995,750.23999,98.129997
3/15/2016,43.667999,26.145,577.02002,750.570007,97.860001
3/16/2016,44.386002,26.4925,574.27002,757.359985,99.349998
3/17/2016,45.276001,26.450001,559.440002,758.47998,99.720001
3/18/2016,46.548,26.48,552.080017,755.409973,101.120003
3/21/2016,47.664001,26.477501,553.97998,762.159973,101.059998
3/22/2016,46.848,26.68,560.47998,760.049988,99.839996
3/23/2016,44.515999,26.532499,569.630005,757.559998,99.589996
3/24/2016,45.549999,26.4175,582.950012,754.840027,98.360001
3/28/2016,46.051998,26.297501,579.869995,753.280029,101.209999
3/29/2016,46.026001,26.92,593.859985,765.890015,104.129997
3/30/2016,45.377998,27.389999,598.690002,768.340027,102.190002
3/31/2016,45.953999,27.247499,593.640015,762.900024,102.230003
4/1/2016,47.518002,27.497499,598.5,769.669983,105.699997
4/4/2016,49.397999,27.780001,593.190002,765.119995,104.349998
4/5/2016,51.094002,27.452499,586.140015,758.570007,104.940002
4/6/2016,53.084,27.74,602.080017,768.070007,104.830002
4/7/2016,51.439999,27.135,591.429993,760.119995,104.449997
4/8/2016,50.014,27.165001,594.599976,759.469971,103.809998
4/11/2016,49.984001,27.254999,595.929993,757.539978,102.68
4/12/2016,49.563999,27.610001,603.169983,764.320007,106.980003
4/13/2016,50.905998,28.01,614.820007,771.909973,109.650002
4/14/2016,50.372002,28.025,620.75,775.390015,110.419998
4/15/2016,50.902,27.4625,625.890015,780,111.510002
4/18/2016,50.776001,26.870001,635.349976,787.679993,108.400002
4/19/2016,49.473999,26.727501,627.900024,776.25,94.339996
4/20/2016,49.993999,26.782499,632.98999,774.919983,96.769997
4/21/2016,49.658001,26.4925,631,780,94.980003
